,precision,recall,f1-score,support
0,0.6715328467153284,0.8141592920353983,0.736,113.0
1,0.7640449438202247,0.6017699115044248,0.6732673267326732,113.0
accuracy,0.7079646017699115,0.7079646017699115,0.7079646017699115,0.7079646017699115
macro avg,0.7177888952677766,0.7079646017699115,0.7046336633663366,226.0
weighted avg,0.7177888952677766,0.7079646017699115,0.7046336633663365,226.0
